question,answer,tags,score,accepted_answer,url
Convert string &quot;Jun 1 2005 1:33PM&quot; into datetime,"datetime.strptime parses an input string in the user-specified format into a timezone-naive datetime object: >>> from datetime import datetime
>>> datetime.strptime('Jun 1 2005  1:33PM', '%b %d %Y %I:%M%p')
datetime.datetime(2005, 6, 1, 13, 33) To obtain a date object using an existing datetime object, convert it using .date() : >>> datetime.strptime('Jun 1 2005', '%b %d %Y').date()
date(2005, 6, 1) Links: strptime docs: Python 2 , Python 3 strptime / strftime format string docs: Python 2 , Python 3 strftime.org format string cheatsheet Notes: strptime = ""string parse time"" strftime = ""string format time""","python,datetime,type-conversion",3005,466376,https://stackoverflow.com/questions/466345/convert-string-jun-1-2005-133pm-into-datetime
How to upgrade all Python packages with pip,"There isn't a built-in flag yet. Starting with pip version 22.3, the --outdated and --format=freeze have become mutually exclusive . Use Python, to parse the JSON output: pip --disable-pip-version-check list --outdated --format=json | python -c ""import json, sys; print('\n'.join([x['name'] for x in json.load(sys.stdin)]))"" | xargs -n1 pip install -U If you are using pip<22.3 you can use: pip list --outdated --format=freeze | grep -v '^\-e' | cut -d = -f 1  | xargs -n1 pip install -U For older versions of pip : pip freeze --local | grep -v '^\-e' | cut -d = -f 1  | xargs -n1 pip install -U The grep is to skip editable (""-e"") package definitions, as suggested by @jawache . (Yes, you could replace grep + cut with sed or awk or perl or...). The -n1 flag for xargs prevents stopping everything if updating one package fails (thanks @andsens ). Note: there are infinite potential variations for this. I'm trying to keep this answer short and simple, but please do suggest variations in the comments!","python,pip,pypi",2897,3452888,https://stackoverflow.com/questions/2720014/how-to-upgrade-all-python-packages-with-pip
How can I sort a list of dictionaries by a value of the dictionary in Python?,"The sorted() function takes a key= parameter newlist = sorted(list_to_be_sorted, key=lambda d: d['name']) Alternatively, you can use operator.itemgetter instead of defining the function yourself from operator import itemgetter
newlist = sorted(list_to_be_sorted, key=itemgetter('name')) For completeness, add reverse=True to sort in descending order newlist = sorted(list_to_be_sorted, key=itemgetter('name'), reverse=True)","python,list,sorting,dictionary,data-structures",2857,73050,https://stackoverflow.com/questions/72899/how-can-i-sort-a-list-of-dictionaries-by-a-value-of-the-dictionary-in-python
How to leave/exit/deactivate a Python virtualenv,"Usually, activating a virtualenv gives you a shell function named: $ deactivate which puts things back to normal. I have just looked specifically again at the code for virtualenvwrapper , and, yes, it too supports deactivate as the way to escape from all virtualenvs. If you are trying to leave an Anaconda environment, the command depends upon your version of conda . Recent versions (like 4.6) install a conda function directly in your shell, in which case you run: conda deactivate Older conda versions instead implement deactivation using a stand-alone script: source deactivate","python,virtualenv,exit,virtualenvwrapper",2855,990779,https://stackoverflow.com/questions/990754/how-to-leave-exit-deactivate-a-python-virtualenv
How do I get the last element of a list?,"some_list[-1] is the shortest and most Pythonic. In fact, you can do much more with this syntax. The some_list[-n] syntax gets the nth-to-last element. So some_list[-1] gets the last element, some_list[-2] gets the second to last, etc, all the way down to some_list[-len(some_list)] , which gives you the first element. You can also set list elements in this way. For instance: >>> some_list = [1, 2, 3]
>>> some_list[-1] = 5 # Set the last element
>>> some_list[-2] = 3 # Set the second to last element
>>> some_list
[1, 3, 5] Note that getting a list item by index will raise an IndexError if the expected item doesn't exist. This means that some_list[-1] will raise an exception if some_list is empty, because an empty list can't have a last element.","python,list",2813,930398,https://stackoverflow.com/questions/930397/how-do-i-get-the-last-element-of-a-list
How do I parse a string to a float or int?,">>> a = ""545.2222""
>>> float(a)
545.22220000000004
>>> int(float(a))
545","python,parsing,floating-point,type-conversion,integer",2785,379910,https://stackoverflow.com/questions/379906/how-do-i-parse-a-string-to-a-float-or-int
How do I install pip on Windows?,"Python 3.4+ and 2.7.9+ Good news! Python 3.4 (released March 2014) and Python 2.7.9 (released December 2014) ship with Pip. This is the best feature of any Python release. It makes the community's wealth of libraries accessible to everyone. Newbies are no longer excluded from using community libraries by the prohibitive difficulty of setup. In shipping with a package manager, Python joins Ruby , Node.js , Haskell , Perl , Go —almost every other contemporary language with a majority open-source community. Thank you, Python. If you do find that pip is not available, simply run ensurepip . On Windows: py -3 -m ensurepip Otherwise: python3 -m ensurepip Of course, that doesn't mean Python packaging is problem solved. The experience remains frustrating. I discuss this in the Stack Overflow question Does Python have a package/module management system? . Python 3 ≤ 3.3 and 2 ≤ 2.7.8 Flying in the face of its 'batteries included' motto, Python ships without a package manager. To make matters worse, Pip was—until recently—ironically difficult to install. Official instructions Per https://pip.pypa.io/en/stable/installing/#do-i-need-to-install-pip : Download get-pip.py , being careful to save it as a .py file rather than .txt . Then, run it from the command prompt: python get-pip.py You possibly need an administrator command prompt to do this. Follow Start a Command Prompt as an Administrator (Microsoft TechNet). This installs the pip package, which (in Windows) contains ...\Scripts\pip.exe that path must be in PATH environment variable to use pip from the command line (see the second part of 'Alternative Instructions' for adding it to your PATH, Alternative instructions The official documentation tells users to install Pip and each of its dependencies from source. That's tedious for the experienced and prohibitively difficult for newbies. For our sake, Christoph Gohlke prepares Windows installers ( .msi ) for popular Python packages. He builds installers for all Python versions, both 32 and 64 bit. You need to: Install setuptools Install pip For me, this installed Pip at C:\Python27\Scripts\pip.exe . Find pip.exe on your computer, then add its folder (for example, C:\Python27\Scripts ) to your path (Start / Edit environment variables). Now you should be able to run pip from the command line. Try installing a package: pip install httpie There you go (hopefully)! Solutions for common problems are given below: Proxy problems If you work in an office, you might be behind an HTTP proxy. If so, set the environment variables http_proxy and https_proxy . Most Python applications (and other free software) respect these. Example syntax: http://proxy_url:port
http://username:password@proxy_url:port If you're really unlucky, your proxy might be a Microsoft NTLM proxy. Free software can't cope. The only solution is to install a free software friendly proxy that forwards to the nasty proxy. http://cntlm.sourceforge.net/ Unable to find vcvarsall.bat Python modules can be partly written in C or C++. Pip tries to compile from source. If you don't have a C/C++ compiler installed and configured, you'll see this cryptic error message. Error: Unable to find vcvarsall.bat You can fix that by installing a C++ compiler such as MinGW or Visual C++ . Microsoft actually ships one specifically for use with Python. Or try Microsoft Visual C++ Compiler for Python 2.7 . Often though it's easier to check Christoph's site for your package.","python,windows,pip",2778,12476379,https://stackoverflow.com/questions/4750806/how-do-i-install-pip-on-windows
How do I get a substring of a string in Python?,">>> x = ""Hello World!""
>>> x[2:]
'llo World!'
>>> x[:2]
'He'
>>> x[:-2]
'Hello Worl'
>>> x[-2:]
'd!'
>>> x[2:-2]
'llo Worl' Python calls this concept ""slicing"" and it works on more than just strings. Take a look here for a comprehensive introduction.","python,string,substring",2728,663175,https://stackoverflow.com/questions/663171/how-do-i-get-a-substring-of-a-string-in-python
How do I escape curly-brace ({}) characters characters in a string while using .format?,"You need to double the {{ and }} : >>> x = "" {{ Hello }} {0} ""
>>> print(x.format(42))
' { Hello } 42 ' Here's the relevant part of the Python documentation for format string syntax : Format strings contain “replacement fields” surrounded by curly braces {} . Anything that is not contained in braces is considered literal text, which is copied unchanged to the output. If you need to include a brace character in the literal text, it can be escaped by doubling: {{ and }} .","python,string,format,string-formatting,curly-braces",2723,5466478,https://stackoverflow.com/questions/5466451/how-do-i-escape-curly-brace-characters-characters-in-a-string-while-using
Check if a given key already exists in a dictionary,"in tests for the existence of a key in a dict : d = {""key1"": 10, ""key2"": 23}

if ""key1"" in d:
    print(""this will execute"")

if ""nonexistent key"" in d:
    print(""this will not"") Use dict.get() to provide a default value when the key does not exist: d = {}

for i in range(100):
    key = i % 10
    d[key] = d.get(key, 0) + 1 To provide a default value for every key, either use dict.setdefault() on each assignment: d = {}

for i in range(100):
    d[i % 10] = d.setdefault(i % 10, 0) + 1 ...or better, use defaultdict from the collections module: from collections import defaultdict

d = defaultdict(int)

for i in range(100):
    d[i % 10] += 1","python,dictionary",2675,1602964,https://stackoverflow.com/questions/1602934/check-if-a-given-key-already-exists-in-a-dictionary
Class (static) variables and methods,"Variables declared inside the class definition, but not inside a method are class or static variables: >>> class MyClass:
...     i = 3
...
>>> MyClass.i
3 As @ millerdev points out, this creates a class-level i variable, but this is distinct from any instance-level i variable, so you could have >>> m = MyClass()
>>> m.i = 4
>>> MyClass.i, m.i
>>> (3, 4) This is different from C++ and Java, but not so different from C#, where a static member can't be accessed using a reference to an instance. See what the Python tutorial has to say on the subject of classes and class objects . @Steve Johnson has already answered regarding static methods , also documented under ""Built-in Functions"" in the Python Library Reference . class C:
    @staticmethod
    def f(arg1, arg2, ...): ... @beidy recommends classmethod s over staticmethod, as the method then receives the class type as the first argument.","python,class,static,class-variables",2636,68672,https://stackoverflow.com/questions/68645/class-static-variables-and-methods
How do I lowercase a string in Python?,"Use str.lower() : ""Kilometer"".lower()","python,string,uppercase,lowercase",2586,6797990,https://stackoverflow.com/questions/6797984/how-do-i-lowercase-a-string-in-python
How can I check if an object has an attribute?,"Try hasattr() : if hasattr(a, 'property'):
    a.property See zweiterlinde's answer , which offers good advice about asking forgiveness! It is a very Pythonic approach! The general practice in Python is that, if the property is likely to be there most of the time, simply call it and either let the exception propagate, or trap it with a try/except block. This will likely be faster than hasattr . If the property is likely to not be there most of the time, or you're not sure, using hasattr will probably be faster than repeatedly falling into an exception block.","python,class,object,attributes,attributeerror",2536,610893,https://stackoverflow.com/questions/610883/how-can-i-check-if-an-object-has-an-attribute
How to print without a newline or space,"In Python 3, you can use the sep= and end= parameters of the print function: To not add a newline to the end of the string: print('.', end='') To not add a space between all the function arguments you want to print: print('a', 'b', 'c', sep='') You can pass any string to either parameter, and you can use both parameters at the same time. If you are having trouble with buffering, you can flush the output by adding flush=True keyword argument: print('.', end='', flush=True) Python 2.6 and 2.7 From Python 2.6 you can either import the print function from Python 3 using the __future__ module : from __future__ import print_function which allows you to use the Python 3 solution above. However, note that the flush keyword is not available in the version of the print function imported from __future__ in Python 2; it only works in Python 3, more specifically 3.3 and later. In earlier versions you'll still need to flush manually with a call to sys.stdout.flush() . You'll also have to rewrite all other print statements in the file where you do this import. Or you can use sys.stdout.write() import sys
sys.stdout.write('.') You may also need to call sys.stdout.flush() to ensure stdout is flushed immediately.","python,trailing-newline",2529,493399,https://stackoverflow.com/questions/493386/how-to-print-without-a-newline-or-space
Calling a function of a module by using its name (a string),"Given a module foo with method bar : import foo
bar = getattr(foo, 'bar')
result = bar() getattr can similarly be used on class instance bound methods, module-level methods, class methods... the list goes on.","python,object,reflection",2496,3071,https://stackoverflow.com/questions/3061/calling-a-function-of-a-module-by-using-its-name-a-string
How can I randomly select (choose) an item from a list (get a random element)?,"Use random.choice() : import random

foo = ['a', 'b', 'c', 'd', 'e']
print(random.choice(foo)) For cryptographically secure random choices (e.g., for generating a passphrase from a wordlist), use secrets.choice() : import secrets

foo = ['battery', 'correct', 'horse', 'staple']
print(secrets.choice(foo)) secrets is new in Python 3.6. On older versions of Python you can use the random.SystemRandom class: import random

secure_random = random.SystemRandom()
print(secure_random.choice(foo))","python,list,random",2444,306417,https://stackoverflow.com/questions/306400/how-can-i-randomly-select-choose-an-item-from-a-list-get-a-random-element
How to remove an element from a list by index,"Use del and specify the index of the element you want to delete: >>> a = [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
>>> del a[-1]
>>> a
[0, 1, 2, 3, 4, 5, 6, 7, 8] Also supports slices: >>> del a[2:4]
>>> a
[0, 1, 4, 5, 6, 7, 8, 9] Here is the section from the tutorial.","python,list,indexing",2348,627453,https://stackoverflow.com/questions/627435/how-to-remove-an-element-from-a-list-by-index
Delete a column from a Pandas DataFrame,"As you've guessed, the right syntax is del df['column_name'] It's difficult to make del df.column_name work simply as the result of syntactic limitations in Python. del df[name] gets translated to df.__delitem__(name) under the covers by Python.","python,pandas,dataframe,del",2339,13485766,https://stackoverflow.com/questions/13411544/delete-a-column-from-a-pandas-dataframe
How do I get the number of elements in a list (length of a list) in Python?,"The len() function can be used with several different types in Python - both built-in types and library types. For example: >>> len([1, 2, 3])
3","python,list",2306,1712236,https://stackoverflow.com/questions/1712227/how-do-i-get-the-number-of-elements-in-a-list-length-of-a-list-in-python
"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?","This is my personal recommendation for beginners: start by learning virtualenv and pip , tools which work with both Python 2 and 3 and in a variety of situations, and pick up other tools once you start needing them. Now on to answer the question: what is the difference between these similarly named things: venv, virtualenv, etc? PyPI packages not in the standard library: virtualenv is a very popular tool that creates isolated Python environments for Python libraries. If you're not familiar with this tool, I highly recommend learning it, as it is a very useful tool. It works by installing a bunch of files in a directory (eg: env/ ), and then modifying the PATH environment variable to prefix it with a custom bin directory (eg: env/bin/ ). An exact copy of the python or python3 binary is placed in this directory, but Python is programmed to look for libraries relative to its path first, in the environment directory. It's not part of Python's standard library, but is officially blessed by the PyPA (Python Packaging Authority). Once activated, you can install packages in the virtual environment using pip . pyenv is used to isolate Python versions. For example, you may want to test your code against Python 2.7, 3.6, 3.7 and 3.8, so you'll need a way to switch between them. Once activated, it prefixes the PATH environment variable with ~/.pyenv/shims , where there are special files matching the Python commands ( python , pip ). These are not copies of the Python-shipped commands; they are special scripts that decide on the fly which version of Python to run based on the PYENV_VERSION environment variable, or the .python-version file, or the ~/.pyenv/version file. pyenv also makes the process of downloading and installing multiple Python versions easier, using the command pyenv install . pyenv-virtualenv is a plugin for pyenv by the same author as pyenv , to allow you to use pyenv and virtualenv at the same time conveniently. However, if you're using Python 3.3 or later, pyenv-virtualenv will try to run python -m venv if it is available, instead of virtualenv . You can use virtualenv and pyenv together without pyenv-virtualenv , if you don't want the convenience features. virtualenvwrapper is a set of extensions to virtualenv (see docs ). It gives you commands like mkvirtualenv , lssitepackages , and especially workon for switching between different virtualenv directories. This tool is especially useful if you want multiple virtualenv directories. pyenv-virtualenvwrapper is a plugin for pyenv by the same author as pyenv , to conveniently integrate virtualenvwrapper into pyenv . pipenv aims to combine Pipfile , pip and virtualenv into one command on the command-line. The virtualenv directory typically gets placed in ~/.local/share/virtualenvs/XXX , with XXX being a hash of the path of the project directory. This is different from virtualenv , where the directory is typically in the current working directory. pipenv is meant to be used when developing Python applications (as opposed to libraries). There are alternatives to pipenv , such as poetry , which I won't list here since this question is only about the packages that are similarly named. Standard library: pyvenv (not to be confused with pyenv in the previous section) is a script shipped with Python 3.3 to 3.7. It was removed from Python 3.8 as it had problems (not to mention the confusing name). Running python3 -m venv has exactly the same effect as pyvenv . venv is a package shipped with Python 3, which you can run using python3 -m venv (although for some reason some distros separate it out into a separate distro package, such as python3-venv on Ubuntu/Debian). It serves the same purpose as virtualenv , but only has a subset of its features ( see a comparison here ). virtualenv continues to be more popular than venv , especially since the former supports both Python 2 and 3.","python,virtualenv,virtualenvwrapper,pyenv,python-venv",2272,41573588,https://stackoverflow.com/questions/41573587/what-is-the-difference-between-venv-pyvenv-pyenv-virtualenv-virtualenvwrappe
How do I pad a string with zeros?,"To pad strings: >>> print('4'.zfill(3))
004
>>> print('-4'.zfill(3))
-04 To pad numbers: >>> n = 4
>>> print(f'{n:03}') # Preferred method, python >= 3.6
004
>>> print('%03d' % n)
004
>>> print(format(n, '03')) # python >= 2.6
004
>>> print('{0:03d}'.format(n))  # python >= 2.6 + python 3
004
>>> print('{foo:03d}'.format(foo=n))  # python >= 2.6 + python 3
004
>>> print('{:03d}'.format(n))  # python >= 2.7 + python3
004 String formatting documentation .","python,string,zero-padding",2261,339013,https://stackoverflow.com/questions/339007/how-do-i-pad-a-string-with-zeros
Delete an element from a dictionary,"The del statement removes an element: del d[key] Note that this mutates the existing dictionary, so the contents of the dictionary changes for anybody else who has a reference to the same instance. To return a new dictionary, make a copy of the dictionary: def removekey(d, key):
    r = dict(d)
    del r[key]
    return r The dict() constructor makes a shallow copy . To make a deep copy, see the copy module . Note that making a copy for every dict del /assignment/etc. means you're going from constant time to linear time, and also using linear space. For small dicts, this is not a problem. But if you're planning to make lots of copies of large dicts, you probably want a different data structure, like a HAMT (as described in this answer ).","python,dictionary,del",2248,5844692,https://stackoverflow.com/questions/5844672/delete-an-element-from-a-dictionary
Determine the type of an object?,"There are two built-in functions that help you identify the type of an object. You can use type() if you need the exact type of an object, and isinstance() to check an object’s type against something. Usually, you want to use isinstance() most of the times since it is very robust and also supports type inheritance. To get the actual type of an object, you use the built-in type() function. Passing an object as the only parameter will return the type object of that object: >>> type([]) is list
True
>>> type({}) is dict
True
>>> type('') is str
True
>>> type(0) is int
True This of course also works for custom types: >>> class Test1 (object):
        pass
>>> class Test2 (Test1):
        pass
>>> a = Test1()
>>> b = Test2()
>>> type(a) is Test1
True
>>> type(b) is Test2
True Note that type() will only return the immediate type of the object, but won’t be able to tell you about type inheritance. >>> type(b) is Test1
False To cover that, you should use the isinstance function. This of course also works for built-in types: >>> isinstance(b, Test1)
True
>>> isinstance(b, Test2)
True
>>> isinstance(a, Test1)
True
>>> isinstance(a, Test2)
False
>>> isinstance([], list)
True
>>> isinstance({}, dict)
True isinstance() is usually the preferred way to ensure the type of an object because it will also accept derived types. So unless you actually need the type object (for whatever reason), using isinstance() is preferred over type() . The second parameter of isinstance() also accepts a tuple of types, so it’s possible to check for multiple types at once. isinstance will then return true, if the object is of any of those types: >>> isinstance([], (tuple, list, set))
True","python,dictionary,types,typeof",2231,2225066,https://stackoverflow.com/questions/2225038/determine-the-type-of-an-object
How to check if the string is empty in Python?,"Empty strings are ""falsy"" ( python 2 or python 3 reference), which means they are considered false in a Boolean context, so you can just do this: if not myString: This is the preferred way if you do not need to differentiate between an empty string and some other falsy value. To explicitly check for an empty string use the following: if myString == """": See the documentation on Truth Value Testing for other values that are false in Boolean contexts.","python,string,boolean,is-empty,comparison-operators",2229,9573259,https://stackoverflow.com/questions/9573244/how-to-check-if-the-string-is-empty-in-python
How do I count the occurrences of a list item?,"If you only want a single item's count, use the count method: >>> [1, 2, 3, 4, 1, 4, 1].count(1)
3 Important: this is very slow if you are counting multiple different items Each count call goes over the entire list of n elements. Calling count in a loop n times means n * n total checks, which can be catastrophic for performance. If you want to count multiple items, use Counter , which only does n total checks.","python,list,count",2227,2600208,https://stackoverflow.com/questions/2600191/how-do-i-count-the-occurrences-of-a-list-item
Why is reading lines from stdin much slower in C++ than Python?,"tl;dr: Because of different default settings in C++ requiring more system calls. By default, cin is synchronized with stdio, which causes it to avoid any input buffering.  If you add this to the top of your main, you should see much better performance: std::ios_base::sync_with_stdio(false); Normally, when an input stream is buffered, instead of reading one character at a time, the stream will be read in larger chunks.  This reduces the number of system calls, which are typically relatively expensive.  However, since the FILE* based stdio and iostreams often have separate implementations and therefore separate buffers, this could lead to a problem if both were used together.  For example: int myvalue1;
cin >> myvalue1;
int myvalue2;
scanf(""%d"",&myvalue2); If more input was read by cin than it actually needed, then the second integer value wouldn't be available for the scanf function, which has its own independent buffer.  This would lead to unexpected results. To avoid this, by default, streams are synchronized with stdio .  One common way to achieve this is to have cin read each character one at a time as needed using stdio functions.  Unfortunately, this introduces a lot of overhead.  For small amounts of input, this isn't a big problem, but when you are reading millions of lines, the performance penalty is significant. Fortunately, the library designers decided that you should also be able to disable this feature to get improved performance if you knew what you were doing, so they provided the sync_with_stdio method. From this link (emphasis added): If the synchronization is turned off, the C++ standard streams are allowed to buffer their I/O independently, which may be considerably faster in some cases .","python,c++,benchmarking,iostream,getline",2203,9371717,https://stackoverflow.com/questions/9371238/why-is-reading-lines-from-stdin-much-slower-in-c-than-python
Why is it string.join(list) instead of list.join(string)?,"It's because any iterable can be joined (e.g, list, tuple, dict, set), but its contents and the ""joiner"" must be strings. For example: '_'.join(['welcome', 'to', 'stack', 'overflow'])
'_'.join(('welcome', 'to', 'stack', 'overflow')) 'welcome_to_stack_overflow' Using something other than strings will raise the following error: TypeError: sequence item 0: expected str instance, int found","python,string,list",2168,493842,https://stackoverflow.com/questions/493819/why-is-it-string-joinlist-instead-of-list-joinstring
How do I append to a file?,"Set the mode in open() to ""a"" (append) instead of ""w"" (write): with open(""test.txt"", ""a"") as myfile:
    myfile.write(""appended text"") The documentation lists all the available modes.","python,file,append",2139,4706520,https://stackoverflow.com/questions/4706499/how-do-i-append-to-a-file
Is there a way to run Python on Android?,"One way is to use Kivy : Open source Python library for rapid development of applications
  that make use of innovative user interfaces, such as multi-touch apps. Kivy runs on Linux, Windows, OS X, Android and iOS. You can run the same [python] code on all supported platforms. Kivy Showcase app","android,python,jython,ase,android-scripting",2083,8189603,https://stackoverflow.com/questions/101754/is-there-a-way-to-run-python-on-android
Static methods in Python?,"Yep, using the staticmethod decorator: class MyClass(object):
    @staticmethod
    def the_static_method(x):
        print(x)

MyClass.the_static_method(2)  # outputs 2 Note that some code might use the old method of defining a static method, using staticmethod as a function rather than a decorator. This should only be used if you have to support ancient versions of Python (2.2 and 2.3): class MyClass(object):
    def the_static_method(x):
        print(x)
    the_static_method = staticmethod(the_static_method)

MyClass.the_static_method(2)  # outputs 2 This is entirely identical to the first example (using @staticmethod ), just not using the nice decorator syntax. Finally, use staticmethod sparingly! There are very few situations where static-methods are necessary in Python, and I've seen them used many times where a separate ""top-level"" function would have been clearer. The following is verbatim from the documentation: : A static method does not receive an implicit first argument. To declare a static method, use this idiom: class C:
    @staticmethod
    def f(arg1, arg2, ...): ... The @staticmethod form is a function decorator – see the description of function definitions in Function definitions for details. It can be called either on the class (such as C.f() ) or on an instance (such as C().f() ). The instance is ignored except for its class. Static methods in Python are similar to those found in Java or C++. For a more advanced concept, see classmethod() . For more information on static methods, consult the documentation on the standard type hierarchy in The standard type hierarchy . New in version 2.2. Changed in version 2.4: Function decorator syntax added.","python,static-methods",2075,735978,https://stackoverflow.com/questions/735975/static-methods-in-python
How do I split the definition of a long string over multiple lines?,"Are you talking about multi-line strings? Easy, use triple quotes to start and end them. s = """""" this is a very
        long string if I had the
        energy to type more and more ..."""""" You can use single quotes too (3 of them of course at start and end) and treat the resulting string s just like any other string. NOTE : Just as with any string, anything between the starting and ending quotes becomes part of the string, so this example has a leading blank (as pointed out by @root45). This string will also contain both blanks and newlines. I.e.,: ' this is a very\n        long string if I had the\n        energy to type more and more ...' Finally, one can also construct long lines in Python like this: s = (""this is a very""
      ""long string too""
      ""for sure ...""
     ) which will not include any extra blanks or newlines (this is a deliberate example showing what the effect of skipping blanks will result in): 'this is a verylong string toofor sure ...' No commas required, simply place the strings to be joined together into a pair of parenthesis and be sure to account for any needed blanks and newlines.","python,string,multiline,multilinestring",2071,10660443,https://stackoverflow.com/questions/10660435/how-do-i-split-the-definition-of-a-long-string-over-multiple-lines
Installing specific package version with pip,"TL;DR : Update as of 2022-12-28 : pip install --force-reinstall -v For example: pip install --force-reinstall -v ""MySQL_python==1.2.2"" What these options mean: --force-reinstall is an option to reinstall all packages even if they are already up-to-date. -v is for verbose. You can combine for even more verbosity (i.e. -vv ) up to 3 times (e.g. --force-reinstall -vvv ). Thanks to @Peter for highlighting this (and it seems that the context of the question has broadened given the time when the question was first asked!), the documentation for Python discusses a caveat with using -I , in that it can break your installation if it was installed with a different package manager or if if your package is/was a different version. Original answer: pip install -Iv (i.e. pip install -Iv MySQL_python==1.2.2 ) What these options mean: -I stands for --ignore-installed which will ignore the installed packages, overwriting them. -v is for verbose. You can combine for even more verbosity (i.e. -vv ) up to 3 times (e.g. -Ivvv ). For more information, see pip install --help First, I see two issues with what you're trying to do. Since you already have an installed version, you should either uninstall the current existing driver or use pip install -I MySQL_python==1.2.2 However, you'll soon find out that this doesn't work. If you look at pip's installation log, or if you do a pip install -Iv MySQL_python==1.2.2 you'll find that the PyPI URL link does not work for MySQL_python v1.2.2. You can verify this here: http://pypi.python.org/pypi/MySQL-python/1.2.2 The download link 404s and the fallback URL links are re-directing infinitely due to sourceforge.net's recent upgrade and PyPI's stale URL. So to properly install the driver, you can follow these steps: pip uninstall MySQL_python
pip install -Iv http://sourceforge.net/projects/mysql-python/files/mysql-python/1.2.2/MySQL-python-1.2.2.tar.gz/download","python,mysql,pip,pypi,mysql-python",2071,5226504,https://stackoverflow.com/questions/5226311/installing-specific-package-version-with-pip
How to prettyprint a JSON file?,"Use the indent= parameter of json.dump() or json.dumps() to specify how many spaces to indent by: >>> import json
>>> your_json = '[""foo"", {""bar"": [""baz"", null, 1.0, 2]}]'
>>> parsed = json.loads(your_json)
>>> print(json.dumps(parsed, indent=4))
[
    ""foo"",
    {
        ""bar"": [
            ""baz"",
            null,
            1.0,
            2
        ]
    }
] To parse a file, use json.load() : with open('filename.txt', 'r') as handle:
    parsed = json.load(handle)","python,json,formatting,pretty-print",2060,12944035,https://stackoverflow.com/questions/12943819/how-to-prettyprint-a-json-file
How do I get the row count of a Pandas DataFrame?,"For a dataframe df , one can use any of the following: len(df.index) df.shape[0] df[df.columns[0]].count() (== number of non-NaN values in first column) Code to reproduce the plot: import numpy as np
import pandas as pd
import perfplot

perfplot.save(
    ""out.png"",
    setup=lambda n: pd.DataFrame(np.arange(n * 3).reshape(n, 3)),
    n_range=[2**k for k in range(25)],
    kernels=[
        lambda df: len(df.index),
        lambda df: df.shape[0],
        lambda df: df[df.columns[0]].count(),
    ],
    labels=[""len(df.index)"", ""df.shape[0]"", ""df[df.columns[0]].count()""],
    xlabel=""Number of rows"",
)","python,pandas,dataframe",2039,15943975,https://stackoverflow.com/questions/15943769/how-do-i-get-the-row-count-of-a-pandas-dataframe
Getting the class name of an instance,"Have you tried the __name__ attribute of the class? ie type(x).__name__ will give you the name of the class, which I think is what you want. >>> import itertools
>>> x = itertools.count(0)
>>> type(x).__name__
'count' If you're still using Python 2, note that the above method works with new-style classes only (in Python 3+ all classes are ""new-style"" classes). Your code might use some old-style classes. The following works for both: x.__class__.__name__","python,introspection,instanceof,python-datamodel",2034,511059,https://stackoverflow.com/questions/510972/getting-the-class-name-of-an-instance
How do I check if a string represents a number (float or int)?,"Which, not only is ugly and slow I'd dispute both. A regex or other string parsing method would be uglier and slower. I'm not sure that anything much could be faster than the above.  It calls the function and returns.  Try/except doesn't introduce much overhead because the most common exception is caught without an extensive search of stack frames. The issue across programming languages is that any numeric conversion function has two kinds of results: A number, if the number is valid; A status code (e.g., via errno) or exception to show that no valid number could be parsed. C (as an example) hacks around this a number of ways.  Python lays it out clearly and explicitly. I think your code for doing this is just fine. The only thing that could be cleaner is moving the return True into an else block, to be clear that it's not part of the code under test – not that there's much ambiguity. def is_number(s):
    try:
        float(s)
    except ValueError:  # Failed
        return False
    else:  # Succeeded
        return True","python,casting,floating-point,type-conversion,integer",2031,354130,https://stackoverflow.com/questions/354038/how-do-i-check-if-a-string-represents-a-number-float-or-int
What&#39;s the canonical way to check for type in Python?,"Use isinstance to check if o is an instance of str or any subclass of str : if isinstance(o, str): To check if the type of o is exactly str , excluding subclasses of str : if type(o) is str: See Built-in Functions in the Python Library Reference for relevant information. Checking for strings in Python 2 For Python 2, this is a better way to check if o is a string: if isinstance(o, basestring): because this will also catch Unicode strings. unicode is not a subclass of str ; both str and unicode are subclasses of basestring . In Python 3, basestring no longer exists since there's a strict separation of strings ( str ) and binary data ( bytes ). Alternatively, isinstance accepts a tuple of classes. This will return True if o is an instance of any subclass of any of (str, unicode) : if isinstance(o, (str, unicode)):","python,types",2022,152596,https://stackoverflow.com/questions/152580/whats-the-canonical-way-to-check-for-type-in-python
